vannmiljo_code,month,new,his_min,his_median,his_max
002-58799,3,3.0,4.0,4.5,5.0
022-97011,2,3.0,4.0,4.0,4.0
027-58831,2,2.0,3.0,4.0,4.0
038-58854,2,2.0,4.0,4.0,4.0
064-28997,2,3.0,4.0,4.0,4.0
064-81557,2,3.0,4.0,4.0,4.0
064-82800,2,3.0,4.0,4.0,4.0
082-50557,2,2.0,3.0,3.0,4.0
082-58872,3,3.0,4.0,4.5,5.0
082-58876,2,2.0,3.0,3.0,4.0
082-81553,2,2.0,3.0,3.0,4.0
082-81554,2,2.0,3.0,3.0,4.0
082-81554,3,3.0,4.0,4.0,4.0
