vannmiljo_code,month,new,his_min,his_median,his_max
021-101027,7,2.0,3.0,3.0,3.0
021-101027,8,1.0,2.0,2.0,2.0
021-101031,8,1.0,3.0,3.0,3.0
021-101031,9,2.0,3.0,3.0,3.0
021-101033,8,1.0,2.0,2.0,2.0
021-29246,9,2.0,3.0,3.0,3.0
021-32024,8,2.0,3.0,3.0,3.0
021-32115,8,1.0,2.0,2.0,3.0
021-46373,8,1.0,2.0,2.0,2.0
021-46374,8,1.0,2.0,2.0,2.0
022-97011,7,2.0,3.0,3.0,3.0
026-97012,9,1.0,2.0,2.5,3.0
027-58845,7,2.0,3.0,3.0,3.0
027-58848,7,2.0,3.0,3.0,3.0
036-47959,7,2.0,3.0,3.0,3.0
036-86020,7,2.0,3.0,3.0,3.0
038-58854,8,1.0,3.0,3.0,3.0
038-58854,9,1.0,2.0,3.0,3.0
064-81557,7,2.0,3.0,3.0,3.0
064-82800,7,2.0,3.0,3.0,3.0
064-82881,7,2.0,3.0,3.0,3.0
