vannmiljo_code,sample_date,lab,depth1,depth2,par_unit,flag,value
022-58904,2021-07-16 07:00:10,Eurofins,0.0,0.0,CA_mg/l,nan,1.8
022-58904,2021-07-16 07:00:10,Eurofins,0.0,0.0,CA_mg/l,nan,1.8
022-58904,2021-07-16 07:00:10,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.4
022-58904,2021-07-16 07:00:10,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.2
022-58904,2021-09-17 07:00:15,Eurofins,0.0,0.0,CA_mg/l,nan,3.7
022-58904,2021-09-17 07:00:15,Eurofins,0.0,0.0,CA_mg/l,nan,6.0
022-58904,2021-09-17 07:00:15,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.7
022-58904,2021-09-17 07:00:15,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.7
030-58762,2021-09-09 07:10:35,Eurofins,0.0,0.0,CA_mg/l,nan,1.6
030-58762,2021-09-09 07:10:35,Eurofins,0.0,0.0,CA_mg/l,nan,0.24
030-58762,2021-09-09 07:10:35,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,7.0
030-58762,2021-09-09 07:10:35,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.1
030-58762,2021-09-14 07:05:30,Eurofins,0.0,0.0,CA_mg/l,nan,0.88
030-58762,2021-09-14 07:05:30,Eurofins,0.0,0.0,CA_mg/l,nan,0.31
030-58762,2021-09-14 07:05:30,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.7
030-58762,2021-09-14 07:05:30,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.0
030-58762,2021-09-21 07:00:23,Eurofins,0.0,0.0,CA_mg/l,nan,1.1
030-58762,2021-09-21 07:00:23,Eurofins,0.0,0.0,CA_mg/l,nan,0.24
030-58762,2021-09-21 07:00:23,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.7
030-58762,2021-09-21 07:00:23,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.1
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,ALK_mmol/l,nan,0.01
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,ALK_mmol/l,nan,0.012
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,ANC_µekv/l,nan,30.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,ANC_µekv/l,nan,22.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,CA_mg/l,nan,0.51
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,CA_mg/l,nan,0.49
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,CL_mg/l,nan,4.6
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,CL_mg/l,nan,4.7
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,18.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,ILAL_µg/l Al,nan,17.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,KOND_mS/m,nan,2.19
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,KOND_mS/m,nan,2.2
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,K_mg/l,nan,0.17
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,K_mg/l,nan,0.17
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,LAL_µg/l Al,nan,6.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,LAL_µg/l Al,nan,7.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,MG_mg/l,nan,0.33
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,MG_mg/l,nan,0.33
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,N-NO3_µg/l N,nan,86.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,N-NO3_µg/l N,nan,79.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,N-TOT_µg/l N,nan,160.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,N-TOT_µg/l N,nan,160.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,NA_mg/l,nan,2.9
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,NA_mg/l,nan,2.8
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,P-TOT_µg/l P,<,2.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,P-TOT_µg/l P,<,2.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.2
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.2
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,RAL_µg/l Al,nan,24.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,RAL_µg/l Al,nan,24.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,SIO2_µg/l Si,nan,467.54327563249007
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,SIO2_µg/l Si,nan,467.54327563249007
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,SO4_mg/l,nan,0.85
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,SO4_mg/l,nan,0.86
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,TOC_mg/l C,nan,2.0
032-58839,2021-08-13 07:30:16,Eurofins,0.0,0.0,TOC_mg/l C,nan,2.0
063-58808,2021-07-21 07:00:00,Eurofins,0.0,0.0,CA_mg/l,nan,0.15
063-58808,2021-07-21 07:00:00,Eurofins,0.0,0.0,CA_mg/l,nan,0.14
063-58808,2021-07-21 07:00:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.9
063-58808,2021-07-21 07:00:00,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,5.9
082-58876,2021-08-03 07:25:16,Eurofins,0.0,0.0,CA_mg/l,nan,1.2
082-58876,2021-08-03 07:25:16,Eurofins,0.0,0.0,CA_mg/l,nan,1.1
082-58876,2021-08-03 07:25:16,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.7
082-58876,2021-08-03 07:25:16,Eurofins,0.0,0.0,PH_<ubenevnt>,nan,6.8
